Year;Bezirk;Population;altitude;CumSum;PercentPop;CumPercentPop
2011;Rust;1896;123.0;1896;0.00018346653042147952;0.00018346653042147952
2011;Neusiedl_am_See;55337;133.0;57233;0.005354687444057707;0.005538153974479186
2011;Vienna;1714227;150.876;1771460;0.1658772574076063;0.1714154113820855
2011;Bruck_an_der_Leitha;92808;156.0;1864268;0.008980570546074193;0.1803959819281597
2011;Gänserndorf;95841;167.0;1960109;0.009274058935719946;0.18967004086387965
2011;Korneuburg;85559;168.0;2045668;0.008279120715364645;0.19794916157924428
2011;Tulln;96791;180.0;2142459;0.009365985731026068;0.20731514731027034
2011;Eisenstadt;13101;182.0;2155560;0.0012677188897952548;0.2085828662000656
2011;Eisenstadt;13101;182.0;2168661;0.0012677188897952548;0.20985058508986087
2011;Eisenstadt;40936;182.0;2209597;0.003961173992264602;0.21381175908212546
2011;Eisenstadt;40936;182.0;2250533;0.003961173992264602;0.21777293307439008
2011;Mistelbach;73962;190.0;2324495;0.007156936457296133;0.2249298695316862
2011;Krems_an_der_Donau;24032;202.9968;2348527;0.002325457626101791;0.22725532715778798
2011;Melk;76344;213.0;2424871;0.007387430800895271;0.23464275795868325
2011;Güssing;26624;229.0;2451495;0.0025762726297159657;0.23721903058839922
2011;Baden;139039;230.0;2590534;0.013454115465860807;0.25067314605426005
2011;Hollabrunn;50301;236.0;2640835;0.004867378663887575;0.2555405247181476
2011;Jennersdorf;17573;242.0;2658408;0.0017004521830678585;0.25724097690121545
2011;Oberpullendorf;37583;243.0;2695991;0.00363672078735784;0.26087769768857333
2011;Mödling;114086;246.0;2810077;0.011039537230835924;0.2719172349194092
2011;Perg;65738;250.0;2875815;0.0063611407050881965;0.2782783756244974
2011;Mattersburg;39050;258.0;2914865;0.003778675112320029;0.28205705073681747
2011;Wiener_Neustadt;75064;265.0;2989929;0.007263571539851233;0.2893206222766687
2011;Wiener_Neustadt;75064;265.0;3064993;0.007263571539851233;0.2965841938165199
2011;Wiener_Neustadt;41305;265.0;3106298;0.003996880294862453;0.30058107411138235
2011;Wiener_Neustadt;41305;265.0;3147603;0.003996880294862453;0.30457795440624486
2011;Linz;139116;266.0;3286719;0.013461566374532987;0.3180395207807778
2011;Linz;139116;266.0;3425835;0.013461566374532987;0.3315010871553108
