C-H88-0;C-GRGEMAKT-0;F-ISIS-1
H88-1;GRBEZAKT-101;6696
H88-1;GRBEZAKT-102;1324
H88-1;GRBEZAKT-103;26769
H88-1;GRBEZAKT-104;32085
H88-1;GRBEZAKT-105;23806
H88-1;GRBEZAKT-106;23343
H88-1;GRBEZAKT-107;38909
H88-1;GRBEZAKT-108;44206
H88-1;GRBEZAKT-109;57163
H88-1;GRBEZAKT-201;23302
H88-1;GRBEZAKT-202;11304
H88-1;GRBEZAKT-210;19439
H88-1;GRBEZAKT-203;17740
H88-1;GRBEZAKT-204;32203
H88-1;GRBEZAKT-205;53149
H88-1;GRBEZAKT-206;43778
H88-1;GRBEZAKT-207;37630
H88-1;GRBEZAKT-208;37817
H88-1;GRBEZAKT-209;39035
H88-1;GRBEZAKT-301;18023
H88-1;GRBEZAKT-302;14470
H88-1;GRBEZAKT-303;7957
H88-1;GRBEZAKT-304;20619
H88-1;GRBEZAKT-305;58597
H88-1;GRBEZAKT-306;57063
H88-1;GRBEZAKT-307;53979
H88-1;GRBEZAKT-308;54352
H88-1;GRBEZAKT-309;47631
H88-1;GRBEZAKT-310;71791
H88-1;GRBEZAKT-311;36054
H88-1;GRBEZAKT-312;43662
H88-1;GRBEZAKT-313;56679
H88-1;GRBEZAKT-314;21123
H88-1;GRBEZAKT-315;56252
H88-1;GRBEZAKT-316;78397
H88-1;GRBEZAKT-317;28916
H88-1;GRBEZAKT-318;55417
H88-1;GRBEZAKT-319;66663
H88-1;GRBEZAKT-320;29974
H88-1;GRBEZAKT-321;53105
H88-1;GRBEZAKT-322;40092
H88-1;GRBEZAKT-323;46127
H88-1;GRBEZAKT-325;60289
H88-1;GRBEZAKT-401;49635
H88-1;GRBEZAKT-402;16593
H88-1;GRBEZAKT-403;11704
H88-1;GRBEZAKT-404;53206
H88-1;GRBEZAKT-405;21994
H88-1;GRBEZAKT-406;46492
H88-1;GRBEZAKT-407;50724
H88-1;GRBEZAKT-408;49379
H88-1;GRBEZAKT-409;39379
H88-1;GRBEZAKT-410;36047
H88-1;GRBEZAKT-411;38911
H88-1;GRBEZAKT-412;44715
H88-1;GRBEZAKT-413;55607
H88-1;GRBEZAKT-414;43063
H88-1;GRBEZAKT-415;41492
H88-1;GRBEZAKT-416;40719
H88-1;GRBEZAKT-417;63828
H88-1;GRBEZAKT-418;33368
H88-1;GRBEZAKT-501;27858
H88-1;GRBEZAKT-502;18674
H88-1;GRBEZAKT-503;37004
H88-1;GRBEZAKT-504;27105
H88-1;GRBEZAKT-505;13009
H88-1;GRBEZAKT-506;29509
H88-1;GRBEZAKT-601;98229
H88-1;GRBEZAKT-621;55368
H88-1;GRBEZAKT-603;47764
H88-1;GRBEZAKT-606;56995
H88-1;GRBEZAKT-622;70501
H88-1;GRBEZAKT-610;61807
H88-1;GRBEZAKT-611;34502
