code;name;FK;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
GRBEZAKT-101;Eisenstadt (Stadt) <101>;GRBDL-1;Eisenstadt urban area <101>;;;;;;
GRBEZAKT-102;Rust (Stadt) <102>;GRBDL-1;Rust urban area <102>;;;;;;
GRBEZAKT-103;Eisenstadt Umgebung <103>;GRBDL-1;Eisenstadt surroundings <103>;;;;;;
GRBEZAKT-104;Güssing <104>;GRBDL-1;Güssing <104>;;;;;;
GRBEZAKT-105;Jennersdorf <105>;GRBDL-1;Jennersdorf <105>;;;;;;
GRBEZAKT-106;Mattersburg <106>;GRBDL-1;Mattersburg <106>;;;;;;
GRBEZAKT-107;Neusiedl am See <107>;GRBDL-1;Neusiedl am See <107>;;;;;;
GRBEZAKT-108;Oberpullendorf <108>;GRBDL-1;Oberpullendorf <108>;;;;;;
GRBEZAKT-109;Oberwart <109>;GRBDL-1;Oberwart <109>;;;;;;
GRBEZAKT-201;Klagenfurt (Stadt) <201>;GRBDL-2;Klagenfurt urban area <201>;;;;;;
GRBEZAKT-202;Villach (Stadt) <202>;GRBDL-2;Villach urban area <202>;;;;;;
GRBEZAKT-210;Feldkirchen <210>;GRBDL-2;Feldkirchen <210>;;;;;;
GRBEZAKT-203;Hermagor <203>;GRBDL-2;Hermagor <203>;;;;;;
GRBEZAKT-204;Klagenfurt Land <204>;GRBDL-2;Klagenfurt rural area <204>;;;;;;
GRBEZAKT-205;Sankt Veit an der Glan <205>;GRBDL-2;Sankt Veit an der Glan <205>;;;;;;
GRBEZAKT-206;Spittal an der Drau <206>;GRBDL-2;Spittal an der Drau <206>;;;;;;
GRBEZAKT-207;Villach Land <207>;GRBDL-2;Villach rural area <207>;;;;;;
GRBEZAKT-208;Völkermarkt <208>;GRBDL-2;Völkermarkt <208>;;;;;;
GRBEZAKT-209;Wolfsberg <209>;GRBDL-2;Wolfsberg <209>;;;;;;
GRBEZAKT-301;Krems an der Donau (Stadt) <301>;GRBDL-3;Krems an der Donau urban area <301>;;;;;;
GRBEZAKT-302;Sankt Pölten (Stadt) <302>;GRBDL-3;Sankt Pölten urban area <302>;;;;;;
GRBEZAKT-303;Waidhofen an der Ybbs (Stadt) <303>;GRBDL-3;Waidhofen an der Ybbs urban area <303>;;;;;;
GRBEZAKT-304;Wiener Neustadt (Stadt) <304>;GRBDL-3;Wiener Neustadt urban area <304>;;;;;;
GRBEZAKT-305;Amstetten <305>;GRBDL-3;Amstetten <305>;;;;;;
GRBEZAKT-306;Baden <306>;GRBDL-3;Baden <306>;;;;;;
GRBEZAKT-307;Bruck an der Leitha <307>;GRBDL-3;Bruck an der Leitha <307>;;;;;;
GRBEZAKT-308;Gänserndorf <308>;GRBDL-3;Gänserndorf <308>;;;;;;
GRBEZAKT-309;Gmünd <309>;GRBDL-3;Gmünd <309>;;;;;;
GRBEZAKT-310;Hollabrunn <310>;GRBDL-3;Hollabrunn <310>;;;;;;
GRBEZAKT-311;Horn <311>;GRBDL-3;Horn <311>;;;;;;
GRBEZAKT-312;Korneuburg <312>;GRBDL-3;Korneuburg <312>;;;;;;
GRBEZAKT-313;Krems Land <313>;GRBDL-3;Krems rural area <313>;;;;;;
GRBEZAKT-314;Lilienfeld <314>;GRBDL-3;Lilienfeld <314>;;;;;;
GRBEZAKT-315;Melk <315>;GRBDL-3;Melk <315>;;;;;;
GRBEZAKT-316;Mistelbach <316>;GRBDL-3;Mistelbach <316>;;;;;;
GRBEZAKT-317;Mödling <317>;GRBDL-3;Mödling <317>;;;;;;
GRBEZAKT-318;Neunkirchen <318>;GRBDL-3;Neunkirchen <318>;;;;;;
GRBEZAKT-319;Sankt Pölten Land <319>;GRBDL-3;Sankt Pölten rural area <319>;;;;;;
GRBEZAKT-320;Scheibbs <320>;GRBDL-3;Scheibbs <320>;;;;;;
GRBEZAKT-321;Tulln <321>;GRBDL-3;Tulln <321>;;;;;;
GRBEZAKT-322;Waidhofen an der Thaya <322>;GRBDL-3;Waidhofen an der Thaya <322>;;;;;;
GRBEZAKT-323;Wiener Neustadt Land <323>;GRBDL-3;Wiener Neustadt rural area <323>;;;;;;
GRBEZAKT-325;Zwettl <325>;GRBDL-3;Zwettl <325>;;;;;;
GRBEZAKT-401;Linz (Stadt) <401>;GRBDL-4;Linz urban area <401>;;;;;;
GRBEZAKT-402;Steyr (Stadt) <402>;GRBDL-4;Steyr urban area <402>;;;;;;
GRBEZAKT-403;Wels (Stadt) <403>;GRBDL-4;Wels urban area <403>;;;;;;
GRBEZAKT-404;Braunau am Inn <404>;GRBDL-4;Braunau am Inn <404>;;;;;;
GRBEZAKT-405;Eferding <405>;GRBDL-4;Eferding <405>;;;;;;
GRBEZAKT-406;Freistadt <406>;GRBDL-4;Freistadt <406>;;;;;;
GRBEZAKT-407;Gmunden <407>;GRBDL-4;Gmunden <407>;;;;;;
GRBEZAKT-408;Grieskirchen <408>;GRBDL-4;Grieskirchen <408>;;;;;;
